Sample_ID,Elk_ID,Date_MM_DD_YY,Easting,Northing,Pellets?,Hair?,Time_sample,Time_freezer,Temp_C,RH_Percent,Veg_community,Metres_nearest_pt_1,Metres_nearest_pt_2,Metres_nearest_pt_3,Time_nearest_pt_1,Time_nearest_pt_2,Time_nearest_pt_3,Cluster_date_MM_DD_YY,Beds_within_20m,Notes,Confidence,Rainfall(mm)
ERE16-20190623-01,E16,06-23-2019,675031,5448618,Yes,No,14:30,20:00,28,51,"Disturbed wet meadow overtaken by reed canary grass, bordered by willow and aspen",6,9.4,5.8,17:30,19:00,18:00,06-22-2019,0,Sample approximately 1 m from distinct bed on top of her cluster. May have been rained on and degraded overnight,Very high,0.5
ERE21-20190624-03,E21,06-24-2019,673288,5451932,Yes,No,14:41,17:15,29.6,47,Edge of disturbed forage field with aspen encroachment ,4.9,2.9,14.2,6:00,5:30,6:30,06-24-2019,1,"Unsure, sample looks old, probably older then 10 hours, however close to points. May not recover much genetic material  ",Unsure,0
ERE15-20190624-01,E15,06-24-2019,674118,5450180,Yes,No,13:05,17:15,27.2,50.3,"Aspen regrowth area following fire, canopy short, wild rose, red-osler dogwood ",9.8,8.4,10.7,14:00,14:30,15:30,06-23-2019,0,"Unsure, ound on trail 5m from bed suspected to belong to ERE15. However sample looks fairly old, low chance of recovering genetic material. ",Unsure,0
ERE15-20190624-02,E15,06-24-2019,674056,5450295,Yes,No,13:26,17:15,27.2,47.8,"Young aspen oak forest, regrowth after fire. Hazelnut, rasberry, oak ",8.5,11.8,12.3,17:30,17:00,16:30,06-23-2019,1,"High confidence, two beds nearby. Sample alomg foraging trail in the direction she was moving from her cluster ",High,0
ERE29-20190626-01,E29,06-26-2019,675406,5453084,Yes,No,10:36,15:06,23.1,53.9,"Open wet aspen forest with poplar, willow, bog birch, wild rose",4.5,4.3,5.2,16:00,12:00,11:30,06-25-2019,1,"About 2 m from a recent bed, and 1 m from another. Sample looks much more recent than 24 hours, and also looks like it could be from a calf (very small pellets)",High,0
ERE29-20190626-02,E29,06-26-2019,675401,5453091,Yes,No,10:46,15:06,23.1,53.9,"Open wet aspen forest with poplar, willow, wild rose, red-osier dogwood",6.1,7.1,8.9,12:00,11:30,12:30,06-25-2019,2,Along a foraging trail about 7 m from beds,Very high,5
ERE18-20190626-03,E18,06-26-2019,675770,5453243,Yes,No,11:17,15:06,27.2,59.5,"Wet-meadow transition to aspen-oak forest, with tall willow and occasional aspen, and willow and meadowsweet in the low shrub layer",9,11,9.3,12:00,13:30,13:00,06-25-2019,0,"Along foraging trail, about 5 m from a recent bed.",Very high,5
ERE20-20190626-04,E20,06-26-2019,675613,5456913,Yes,No,13:10,15:06,30.3,45.1,"Tall shrubland, somewhat disturbed with willow and red-osier dogwood",9.5,12.4,11.5,10:00,12:00,11:30,06-25-2019,0,"Looks like foraging area with no beds close by. Not sure how many elk are in the area, i.e. if she has joined with a group yet after calving.",High,5
ERE16-20190627-01,E16,06-27-2019,674221,5446089,Yes,No,8:42,13:30,20.4,53.7,"Dense oak forest with young oak in understory, gray dogwood, bog birch, and hazelnut",3.1,2.9,3.9,19:30,19:00,18:00,06-26-2019,0,Approximately 1 m from a bed,Very high,0
ERE15-20190627-02,E15,06-27-2019,674286,5446008,Yes,No,9:00,13:30,21.4,52.5,"Dense young oak forest, oak and maple in subcanopy, hazelnut, saskatoon, and chokecherry in understory",1.7,0.6,1.1,14:30,13:30,13:00,06-26-2019,1,"Looks like foraging area. 5 m from a full sized bed, and also near to a smaller bed that may belong to a calf",Very high,0
